mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,90,12,4.0,62211.0,,,,,,,,,,,0.0,2019-09-02
538005553,Oil products tanker,144,22,0.0,8257.0,,,,,,,,,,,0.0,2019-09-02
236039000,General cargo ship,82,12,21.0,121388.0,10.089656874845716,10.5,0.1,11.2,1.8417903677615615,1.1359119079238602,0.3166666666666913,7.105427357601002e-15,25.110000000000014,2.902482962818372,4051.0,2019-09-02
211223120,Other ship,33,8,611.0,734304.0,6.913982380844817,8.8,0.1,11.2,4.120162049232446,35.13185152273173,11.377777777777773,5.684341886080802e-14,347.2666666666666,68.61118921214391,4427.0,2019-09-02
311045200,General cargo ship,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-09-02
219005302,Fishing ship,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-09-02
211188000,Passenger ship,141,24,99.0,4167266.0,12.31345717234262,13.4,0.1,16.2,3.7275115791204025,7.573611222557729,0.7750000000000057,3.552713678800501e-15,302.44,29.94042589880578,9690.0,2019-09-02
211543450,Passenger ship,26,6,351.0,568060.0,6.213043478260869,6.5,0.8,7.8,1.1398441490954936,27.354340277777776,8.683333333333309,0.20000000000001705,305.59999999999997,72.25938035214415,138.0,2019-09-02
255805557,General cargo ship,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-09-02
209223000,Oil products tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-09-02
265874000,Passenger ship,177,26,262.0,1832717.0,14.991718983557547,16.5,9.5,17.7,3.122819843135493,0.4943187579551208,0.16666666666671404,7.105427357601002e-15,13.896666666666647,1.4836692415578543,3345.0,2019-09-02
246355000,General cargo ship,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-09-02
211794540,Pleasure boat,11,7,1196.0,51216.0,,,,,,,,,,,0.0,2019-09-02
277504000,Passenger ship,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-09-02
211265530,General cargo ship,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-09-02
212519000,General cargo ship,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-09-02
219007678,Other ship,29,7,5.0,13725.0,,,,,,,,,,,0.0,2019-09-02
305502000,General cargo ship,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-09-02
244828000,Other ship,123,14,4.0,30960.0,,,,,,,,,,,0.0,2019-09-02
246125000,General cargo ship,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-09-02
230630000,General cargo ship,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-09-02
377739000,General cargo ship,88,11,42.0,111009.0,,,,,,,,,,,0.0,2019-09-02
211727510,Passenger ship,170,27,320.0,3701330.0,13.36910327983252,16.3,0.1,20.3,5.369622216192868,9.767260699764153,0.5,2.842170943040401e-14,320.97166666666664,36.43303507669176,11464.0,2019-09-02
477021900,General cargo ship,229,33,,9476.0,13.36910327983252,16.3,0.1,20.3,5.369622216192868,9.767260699764153,0.5,2.842170943040401e-14,320.97166666666664,36.43303507669176,11464.0,2019-09-02
219000692,Pleasure boat,14,4,2657.0,273433.0,0.11,0.1,0.1,0.3,0.03333333333333333,,,,,,100.0,2019-09-02
265866000,Passenger ship,220,30,109.0,1203285.0,18.006493506493506,18.0,17.9,18.1,0.04228030440483332,0.40317550505050903,0.37361111111115974,0.010000000000019327,1.0033333333333587,0.48151057872216596,154.0,2019-09-02
266262000,Passenger ship,183,28,0.0,1429436.0,18.1949747332959,18.5,15.2,19.8,1.0905429484512457,0.7932336997797537,0.16597222222224417,1.4210854715202004e-14,10.68777777777774,1.9008386733091607,3562.0,2019-09-02
211417590,Fishing ship,42,10,52.0,289582.0,,,,,,,,,,,0.0,2019-09-02
265463000,Passenger ship,200,28,589.0,2092052.0,13.14605227334604,14.0,0.1,18.3,4.030238503904738,6.611686177502862,0.31666666666666643,3.552713678800501e-15,355.85,32.36663268897943,7346.0,2019-09-02
236354000,General cargo ship,89,12,117.0,214251.0,,,,,,,,,,,0.0,2019-09-02
218816000,General cargo ship,134,22,42.0,213047.0,,,,,,,,,,,0.0,2019-09-02
518435000,General cargo ship,87,10,6.0,65280.0,,,,,,,,,,,0.0,2019-09-02
